iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	reactionTime	eventType	text	messageType	utteranceType	utteranceTypeSignifiers	Properties
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1.54204E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	18495	chatMessage	They have specific colors. like green and pink	Informative	Generic	None	Color
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1.54204E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	5787	chatMessage	green and yellow	Informative	Generic	None	Color
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1.54204E+12	student	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	6264	chatMessage	"green and yellow, got it"	Confirmation	Generic	None	Color
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1.54204E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	6415	chatMessage	blue and red	Follow-Up	Generic	None	Color
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1.54204E+12	student	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	1080	chatMessage	ok	Confirmation	Affirmative	Ok	None
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1.54204E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	512	chatMessage	ok	Confirmation	Affirmative	Ok	None
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1.54204E+12	student	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	4515	chatMessage	is that all you can tell me?	Follow-Up	Question	Possibility	None
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1.54204E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	691	chatMessage	yes	Follow-Up	Affirmative	Yes	None
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1.54204E+12	student	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	9323	chatMessage	so each color combo can be found?	Follow-Up	Question	Possibility	Color
pilot	9372-08a6d4a6-e36c-44d2-b0a5-c867477684ee	1.54204E+12	explorer	10	"DISUNCTION,DISJUNCTION"	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	617	chatMessage	yes	Confirmation	Affirmative	Yes	None
