iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	text	reactionTime	eventType
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1541898432410	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	hello	926	chatMessage
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1541898444153	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	so, what have you learned about the dorbsy?	9567	chatMessage
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1541898594518	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	They come in various shapes and colors. The most prominent one has 8 to 10 appendages and a butterfly shape on its back.  Green fish looking creatures also. And some owl like creatures of various colors but not all. It	144789	chatMessage
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1541898643164	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Too many colors to describe them all, but I would half are. Understand?	31836	chatMessage
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1541898672597	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	but I would say half are.	9309	chatMessage
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1541898708560	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Are you saying half of the owl-looking creatures are dorbsys?	31625	chatMessage
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1541898761799	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Yeah, I didn't get all the colors.	35029	chatMessage
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1541898792170	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Maybe you should just stick with the first 2 I described.	27895	chatMessage
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1541898805502	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	But it's half the owls, the green fish and then a spider or octopus-like thing with a butterfly-ish thing on its back?	30044	chatMessage
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1541898852783	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	Yeah.	11675	chatMessage
pilot	1999-7c2ed491-7d9e-42fd-8d40-1af5ea5aa06b	1541898884255	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	ok, I guess I'll press "continue" now and we'll see how I do	12028	chatMessage
