iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn	text	reactionTime	eventType	messageType
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540415320898	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	wudsies have an orange color on their bodies	85529	chatMessage	Informative
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540415320898	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	are wudsies big or small?	7245	chatMessage	Follow-Up
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540415353725	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	they have the same size as others.	19954	chatMessage	Follow-Up
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540415376380	student	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	Is there anything else important I should know about wudsies?	10975	chatMessage	Follow-Up
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540415437854	explorer	0	SINGLE_FEAT	./js/training_data_body_color_orange_1.json	./js/test_data_body_color_orange_1.json	if you see some orange color, it is a wudsy.	50199	chatMessage	Follow-Up
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540415776159	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	morseths look like fish with blue color.	42677	chatMessage	Informative
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540415807766	student	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	Can the blue color be anywhere on the morseth?	11428	chatMessage	Follow-Up
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540415842769	explorer	2	CONJUNCTION	./js/training_data_critter_fish_body_color_blue_1.json	./js/test_data_critter_fish_body_color_blue_1.json	yes. the dominant color is blue.	26964	chatMessage	Follow-Up
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540416052103	explorer	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	any creature with both orange and purple colors is a kwep.	67001	chatMessage	Informative
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540416079968	student	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	It doesn't matter what shape or size the animal is?	8700	chatMessage	Follow-Up
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540416143900	explorer	4	CONJUNCTION	./js/training_data_body_color_orange_secondary_color_purple_1.json	./js/test_data_body_color_orange_secondary_color_purple_1.json	the size does not matter. if you see orange and purple on the same creature, it is a kwep	54454	chatMessage	Follow-Up
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540416591842	explorer	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	if a creature has some yellow color (except beaks of birds), it is a zorb	57332	chatMessage	Informative
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540416613447	student	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	can the dominant color be yellow?	10590	chatMessage	Follow-Up
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540416683633	explorer	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	no. if you see some yellow color (except the beaks of birds), it is a zorb	58813	chatMessage	Follow-Up
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540416703816	student	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	can any critter be a zorb?	9605	chatMessage	Follow-Up
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540416822847	explorer	6	DISJUNCTION	./js/training_data_critter_bug_or_secondary_color_yellow_1.json	./js/test_data_critter_bug_or_secondary_color_yellow_1.json	just look for the creatures with some yellow color. be careful on the birds. all birds have yellow beaks. yellow color on the beaks are excluded	95032	chatMessage	Follow-Up
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540417313788	explorer	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	all birds are luzaks. moreover any creature with dominant green is also luzak	83386	chatMessage	Informative
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540417356634	student	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	Birds are luzaks regardless of color?	11281	chatMessage	Follow-Up
pilot	9004-28faa569-102c-4e9d-8e39-2be2b2392b22	1540417416747	explorer	8	DISJUNCTION	./js/training_data_critter_bird_or_body_color_green_1.json	./js/test_data_critter_bird_or_body_color_green_1.json	yes. all birds regardless of color + creatures with dominant green color	52376	chatMessage	Follow-Up
