is_correct,time_in_seconds,trial_num,true_label,turker_label,game_id,rule_idx,training_data_fn,rule_type,role,WorkerId
True,1.478,37,True,True,8388-04055f0e-5abc-4692-8ca3-b7597c2f4349,1,./js/training_data_body_color_orange_2.json,SINGLE_FEAT,explorer,b9500de3
True,2.546999999999999,38,False,False,8388-04055f0e-5abc-4692-8ca3-b7597c2f4349,1,./js/training_data_body_color_orange_2.json,SINGLE_FEAT,explorer,b9500de3
True,1.784,39,True,True,8388-04055f0e-5abc-4692-8ca3-b7597c2f4349,1,./js/training_data_body_color_orange_2.json,SINGLE_FEAT,explorer,b9500de3
True,1.7080000000000002,40,False,False,8388-04055f0e-5abc-4692-8ca3-b7597c2f4349,1,./js/training_data_body_color_orange_2.json,SINGLE_FEAT,explorer,b9500de3
True,1.3900000000000001,41,True,True,8388-04055f0e-5abc-4692-8ca3-b7597c2f4349,1,./js/training_data_body_color_orange_2.json,SINGLE_FEAT,explorer,b9500de3
True,1.442,42,False,False,8388-04055f0e-5abc-4692-8ca3-b7597c2f4349,1,./js/training_data_body_color_orange_2.json,SINGLE_FEAT,explorer,b9500de3
True,1.949,43,False,False,8388-04055f0e-5abc-4692-8ca3-b7597c2f4349,1,./js/training_data_body_color_orange_2.json,SINGLE_FEAT,explorer,b9500de3
True,1.7369999999999992,44,True,True,8388-04055f0e-5abc-4692-8ca3-b7597c2f4349,1,./js/training_data_body_color_orange_2.json,SINGLE_FEAT,explorer,b9500de3
True,1.838,45,False,False,8388-04055f0e-5abc-4692-8ca3-b7597c2f4349,1,./js/training_data_body_color_orange_2.json,SINGLE_FEAT,explorer,b9500de3
True,1.444,46,False,False,8388-04055f0e-5abc-4692-8ca3-b7597c2f4349,1,./js/training_data_body_color_orange_2.json,SINGLE_FEAT,explorer,b9500de3
True,4.7330000000000005,47,False,False,8388-04055f0e-5abc-4692-8ca3-b7597c2f4349,1,./js/training_data_body_color_orange_2.json,SINGLE_FEAT,explorer,b9500de3
True,2.752,48,False,False,8388-04055f0e-5abc-4692-8ca3-b7597c2f4349,1,./js/training_data_body_color_orange_2.json,SINGLE_FEAT,explorer,b9500de3
True,2.185,49,False,False,8388-04055f0e-5abc-4692-8ca3-b7597c2f4349,1,./js/training_data_body_color_orange_2.json,SINGLE_FEAT,explorer,b9500de3
