experimentName	iterationName	gameid	time	role	rule_idx	rule_name	rule_file_name	round_num	text	reactionTime	eventType
mp-game-6	pilot	3297-55a1df67-0b46-4d19-9968-9e26555a640c	1547843137840	explorer	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	0	"how much you collected"	10.712	chatMessage
mp-game-6	pilot	3297-55a1df67-0b46-4d19-9968-9e26555a640c	1547843156093	student	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	0	"you are supposed to tell me about the species"	9.407	chatMessage
mp-game-6	pilot	3297-55a1df67-0b46-4d19-9968-9e26555a640c	1547843209901	explorer	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	0	"like a fish"	4.554	chatMessage
mp-game-6	pilot	3297-55a1df67-0b46-4d19-9968-9e26555a640c	1547843218128	student	45	"fish with (white stripes or purple bodies) and whiskers"	fish_white_stripes_or_purple_bodies_whiskers	0	"ok"	2.71	chatMessage
mp-game-6	pilot	3297-55a1df67-0b46-4d19-9968-9e26555a640c	1547843653366	student	5	"bugs without wings"	bugs_without_wings	1	"Hello?"	3.276	chatMessage
mp-game-6	pilot	3297-55a1df67-0b46-4d19-9968-9e26555a640c	1547843682930	explorer	5	"bugs without wings"	bugs_without_wings	1	"guess how much"	20.783	chatMessage
mp-game-6	pilot	3297-55a1df67-0b46-4d19-9968-9e26555a640c	1547843703420	student	5	"bugs without wings"	bugs_without_wings	1	"tell me about the species, the color the features, the type of object"	14.984	chatMessage
mp-game-6	pilot	3297-55a1df67-0b46-4d19-9968-9e26555a640c	1547843711898	student	5	"bugs without wings"	bugs_without_wings	1	"I cant see any of the creatures."	6.585	chatMessage
mp-game-6	pilot	3297-55a1df67-0b46-4d19-9968-9e26555a640c	1547843744354	explorer	5	"bugs without wings"	bugs_without_wings	1	"creature is there on previous"	22.629	chatMessage
