date,workerid,amount
Mon Feb 05 16:25:27 PST 2018,AOAZMLP27GD81,1.3
Mon Feb 05 16:41:09 PST 2018,AUQ79MANVDU9B,1.3
Mon Feb 05 17:37:03 PST 2018,A1RDRK3QTM7U96,1.3
Mon Feb 05 18:12:00 PST 2018,A26Y58YECZUZZG,1.3
,total paid to workers:,=SUM(c2:c5)
,40% paid to Amazon:,=.4*c6
,total:,=SUM(c6:c7
